,Year,BAGPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,11.41,8.63,7.43,2.77,3.97,0.38,0.38,8.0
1,2008,-33.17,-22.19,-34.34,-10.98,1.16,0.43,36.0,86.0
2,2009,28.23,21.77,29.37,6.46,-1.13,0.45,55.0,23.0
3,2010,13.66,12.33,13.49,1.33,0.18,0.45,46.0,54.0
4,2011,-2.27,0.59,-3.8,-2.86,1.53,0.61,150.0,33.0
5,2012,12.94,12.04,13.42,0.9,-0.48,0.67,46.0,29.0
6,2013,24.81,14.31,21.31,10.5,3.5,0.58,65.0,2.0
7,YTD,6.84,5.81,6.72,1.03,0.12,0.59,69.0,41.0
