,Year,OFIAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,7.15,7.84,7.46,-0.69,-0.31,0.8,112.0,41.0
1,2012,12.94,4.21,11.06,8.72,1.88,0.89,123.0,24.0
2,2013,0.83,-2.02,-1.06,2.85,1.89,1.0,135.0,9.0
3,YTD,6.78,5.87,7.18,0.91,-0.4,0.99,119.0,52.0
