,Year,FOHIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.19,2.0,2.0
1,2008,-35.44,-37.0,-37.79,1.56,2.35,0.19,6.0,24.0
2,2009,22.14,26.46,28.17,-4.32,-6.03,0.2,18.0,82.0
3,2010,12.39,15.06,14.01,-2.67,-1.61,0.2,6.0,72.0
4,2011,2.98,2.11,-1.27,0.86,4.25,0.2,6.0,13.0
5,2012,15.77,16.0,14.96,-0.24,0.8,0.2,10.0,40.0
6,2013,30.23,32.39,31.5,-2.16,-1.27,0.17,19.0,70.0
7,YTD,13.54,13.98,11.28,-0.44,2.26,2.26,2.26,24.0
