,Year,FILAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-22.1,-22.19,-18.06,0.09,-4.04,0.25,21.0,66.0
1,2009,21.78,21.77,18.36,0.01,3.42,0.25,60.0,41.0
2,2010,10.4,12.33,8.94,-1.94,1.46,0.25,38.0,46.0
3,2011,0.61,0.59,1.6,0.02,-0.99,0.25,48.0,61.0
4,2012,8.69,12.04,9.01,-3.35,-0.31,0.25,35.0,59.0
5,2013,8.77,14.31,7.36,-5.54,1.4,0.25,44.0,33.0
6,YTD,4.72,5.81,5.03,-1.09,-0.31,0.25,25.0,60.0
