,Year,FNGAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,1.45,6.0,6.0
1,2009,58.26,41.45,38.02,16.81,20.24,1.45,15.0,4.0
2,2010,13.25,11.15,14.78,2.1,-1.53,1.32,17.0,65.0
3,2011,-11.99,-13.71,-12.3,1.72,0.32,1.37,13.0,47.0
4,2012,22.52,16.83,17.7,5.69,4.82,1.52,29.0,8.0
5,2013,11.38,15.29,18.58,-3.91,-7.21,1.49,26.0,94.0
6,YTD,-3.28,-0.27,-0.63,-3.01,-2.65,1.49,30.0,80.0
