,Year,TABRX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,50.28,16.65,36.68,33.63,13.6,2.15,29.0,3.0
1,2008,-61.39,-45.53,-54.44,-15.87,-6.95,2.09,40.0,93.0
2,2009,90.88,41.45,73.81,49.43,17.07,2.17,47.0,11.0
3,2010,12.87,11.15,19.26,1.72,-6.39,2.15,22.0,94.0
4,2011,-26.7,-13.71,-19.86,-12.99,-6.84,2.11,19.0,92.0
5,2012,8.0,16.83,18.15,-8.83,-10.14,2.02,18.0,95.0
6,2013,-5.12,15.29,-0.14,-20.41,-4.98,2.06,30.0,78.0
7,YTD,-1.1,-0.27,1.96,-0.83,-3.07,2.0,20.0,82.0
