,Year,FINVX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,4.12,11.15,7.48,-7.03,-3.36,0.99,72.0,82.0
1,2011,-16.48,-13.71,-12.77,-2.77,-3.71,0.93,78.0,84.0
2,2012,20.19,16.83,16.21,3.36,3.99,0.87,63.0,16.0
3,2013,22.51,15.29,20.81,7.22,1.69,0.85,80.0,38.0
4,YTD,-3.83,-0.27,-2.55,-3.56,-1.28,-1.28,-1.28,69.0
