,Year,BEEAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,,,,,,1.65,12.0,12.0
1,YTD,7.31,-0.27,1.96,7.59,5.35,5.35,5.35,8.0
