,Year,MDEGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,22.03,26.65,19.72,-4.62,2.32,1.51,38.0,26.0
1,2007,19.7,16.65,11.28,3.05,8.43,1.27,35.0,9.0
2,2008,-34.95,-45.53,-41.91,10.57,6.96,1.35,66.0,15.0
3,2009,26.74,41.45,35.27,-14.71,-8.53,1.27,35.0,79.0
4,2010,12.71,11.15,13.74,1.56,-1.03,1.28,32.0,49.0
5,2011,-7.53,-13.71,-7.93,6.18,0.4,1.26,37.0,45.0
6,2012,13.61,16.83,15.84,-3.22,-2.23,1.28,112.0,71.0
7,2013,23.33,15.29,25.19,8.05,-1.86,1.27,11.0,61.0
8,YTD,7.24,-0.27,4.54,7.51,2.7,2.7,2.7,22.0
