,Year,FTAEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-47.29,-45.53,-43.99,-1.76,-3.3,1.48,91.0,82.0
1,2009,40.72,41.45,31.24,-0.73,9.47,1.47,98.0,11.0
2,2010,12.27,11.15,10.24,1.12,2.04,1.47,67.0,28.0
3,2011,-14.49,-13.71,-13.97,-0.79,-0.53,1.42,75.0,60.0
4,2012,21.97,16.83,18.29,5.14,3.68,1.42,110.0,11.0
5,2013,15.57,15.29,19.44,0.28,-3.87,1.43,89.0,82.0
6,YTD,-1.71,-0.27,-1.63,-1.44,-0.08,-0.08,-0.08,48.0
