,Year,PWWIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,0.11,-2.02,2.92,2.13,-2.82,0.99,127.0,73.0
1,YTD,-1.2,5.87,0.85,-7.07,-2.05,0.99,394.0,70.0
