,Year,RBBAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,4.59,8.63,4.53,-4.05,0.05,0.45,27.0,53.0
1,2008,-14.88,-22.19,-18.61,7.31,3.73,0.4,19.0,24.0
2,2009,20.24,21.77,20.77,-1.54,-0.54,0.41,39.0,54.0
3,2010,11.1,12.33,10.03,-1.23,1.07,0.42,41.0,33.0
4,2011,4.76,0.59,1.7,4.17,3.05,0.44,28.0,10.0
5,2012,11.18,12.04,9.4,-0.87,1.78,0.42,31.0,26.0
6,2013,6.2,14.31,7.23,-8.1,-1.03,0.42,26.0,62.0
7,YTD,5.96,5.81,4.98,0.16,0.98,0.41,28.0,26.0
