,Year,MLPFX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,1.1,15.0,15.0
1,2011,6.44,-5.54,6.64,11.98,-0.2,1.1,10.0,41.0
2,2012,2.84,15.83,4.09,-12.99,-1.26,1.1,11.0,59.0
3,2013,22.56,26.68,23.24,-4.12,-0.68,1.1,2.0,49.0
4,YTD,9.4,6.66,11.07,2.74,-1.67,-1.67,-1.67,71.0
