,Year,CENAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.08,0.08,0.08
1,2013,-1.31,-2.02,0.45,0.71,-1.77,0.51,8.0,39.0
2,YTD,2.56,5.87,1.45,-3.31,1.11,1.11,1.11,8.0
