,Year,VFFVX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,,3.0,3.0
1,2011,-2.27,0.59,-4.13,-2.86,1.86,1.86,12.0,9.0
2,2012,15.58,12.04,15.52,3.54,0.06,0.06,3.0,48.0
3,2013,24.33,14.31,23.14,10.02,1.19,1.19,9.0,36.0
4,YTD,8.24,5.81,6.74,2.43,1.5,1.5,7.0,20.0
