,Year,SAEAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,23.46,32.39,31.5,-8.93,-8.04,0.64,47.0,94.0
1,YTD,7.78,13.98,11.28,-6.2,-3.5,0.55,18.0,86.0
