,Year,PUBAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,12.64,5.93,19.0,6.71,-6.36,1.3,417.0,61.0
1,2010,5.21,6.54,5.44,-1.33,-0.23,1.3,1039.0,52.0
2,2011,0.24,7.84,-1.29,-7.6,1.54,1.3,1240.0,27.0
3,2012,8.6,4.21,7.5,4.39,1.1,1.3,1001.0,36.0
4,2013,-2.6,-2.02,0.29,-0.57,-2.88,1.3,786.0,84.0
5,YTD,3.0,5.87,1.86,-2.87,1.13,1.3,728.0,25.0
