,Year,FCPEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-33.67,-37.0,-36.56,3.33,2.89,0.67,16.0,32.0
1,2009,23.6,26.46,31.8,-2.86,-8.2,0.67,184.0,83.0
2,2010,26.13,15.06,25.61,11.07,0.53,0.67,137.0,44.0
3,2011,-1.07,2.11,-4.07,-3.18,3.0,0.67,90.0,22.0
4,2012,19.33,16.0,15.46,3.32,3.86,0.67,79.0,15.0
5,2013,38.66,32.39,37.39,6.28,1.27,0.67,106.0,37.0
6,YTD,3.27,13.98,1.83,-10.71,1.44,0.67,107.0,37.0
