,Year,FLDAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,1.26,2.43,1.45,-1.17,-0.19,0.9,79.0,63.0
1,2006,4.26,4.33,4.05,-0.08,0.21,0.9,86.0,34.0
2,2007,5.86,6.97,4.29,-1.11,1.57,0.9,83.0,17.0
3,2008,2.32,5.24,-4.23,-2.92,6.54,0.9,116.0,16.0
4,2009,8.24,5.93,9.3,2.31,-1.07,0.9,53.0,53.0
5,2010,4.79,6.54,4.11,-1.76,0.68,0.9,50.0,27.0
6,2011,0.6,7.84,1.66,-7.25,-1.07,0.9,76.0,86.0
7,2012,4.08,4.21,3.67,-0.14,0.41,0.89,51.0,40.0
8,2013,1.22,-2.02,0.45,3.24,0.77,0.8,65.0,20.0
9,YTD,1.19,5.87,1.45,-4.68,-0.27,-0.27,-0.27,56.0
