,Year,PAFRX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,7.1,4.21,9.43,2.88,-2.34,0.95,45.0,90.0
1,2013,4.1,-2.02,5.68,6.13,-1.58,0.96,69.0,90.0
2,YTD,2.04,5.87,1.88,-3.82,0.17,0.96,40.0,40.0
