,Year,VFIFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,7.49,8.63,5.91,-1.14,1.58,1.58,2.0,26.0
1,2008,-34.62,-22.19,-38.67,-12.42,4.05,4.05,4.0,6.0
2,2009,28.31,21.77,32.02,6.54,-3.71,-3.71,8.0,89.0
3,2010,15.2,12.33,14.53,2.87,0.67,0.67,10.0,37.0
4,2011,-2.54,0.59,-3.82,-3.13,1.28,1.28,15.0,14.0
5,2012,15.58,12.04,15.07,3.54,0.51,0.51,4.0,44.0
6,2013,24.34,14.31,21.02,10.04,3.32,3.32,9.0,30.0
7,YTD,8.23,5.81,6.68,2.42,1.55,1.55,7.0,19.0
