,Year,AAFTX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.35,0.35,0.35
1,2008,-35.53,-22.19,-37.04,-13.33,1.52,0.24,0.24,29.0
2,2009,31.34,21.77,30.06,9.56,1.28,0.3,0.3,43.0
3,2010,12.62,12.33,14.28,0.29,-1.66,0.38,2.0,88.0
4,2011,-2.35,0.59,-3.51,-2.94,1.17,0.37,1.0,21.0
5,2012,16.16,12.04,14.64,4.12,1.52,0.37,3.0,15.0
6,2013,25.54,14.31,20.0,11.23,5.55,0.36,2.0,2.0
7,YTD,8.24,5.81,6.47,2.43,1.77,1.77,1.77,7.0
