,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio
0,FRIFX,MSCI ACWI NR USD,55.22,0.3,8.48,40.52,USD,5,5.84,12.18,1.99,3.85
1,VTWNX,Morningstar Moderate Target Risk,98.97,1.06,0.35,9.38,USD,5,9.03,10.06,1.1,1.91
2,JNBAX,Morningstar Moderate Target Risk,88.95,0.96,0.44,9.48,USD,5,8.62,9.2,1.06,1.74
3,FIOFX,Morningstar Moderate Target Risk,98.47,1.37,-1.67,7.67,USD,5,11.65,10.58,0.92,1.51
4,PTTRX,Barclays US Agg Bond TR USD,59.01,0.98,1.02,5.08,USD,5,3.6,5.06,1.37,2.32
5,VGPMX,MSCI ACWI NR USD,42.34,1.22,-21.83,-9.76,USD,5,27.3,-11.86,-0.33,-0.43
6,PRGTX,MSCI ACWI NR USD,77.63,1.11,10.16,20.04,USD,5,18.36,22.4,1.2,2.24
7,FOSFX,MSCI ACWI Ex USA NR USD,94.19,1.08,1.2,6.54,USD,5,18.25,7.13,0.46,0.7
8,OARAX,Morningstar Moderate Target Risk,32.18,0.36,-0.43,7.54,USD,5,5.39,2.81,0.53,0.74
9,VMRGX,S&P 500 TR USD,83.25,1.12,-3.23,17.46,USD,5,15.08,15.84,1.05,1.83
10,FSTFX,Barclays Municipal TR USD,81.97,0.34,0.45,6.38,USD,5,1.4,2.21,1.51,2.89
11,OIBAX,Barclays US Agg Bond TR USD,11.94,0.95,-1.3,2.33,USD,5,7.76,2.29,0.32,0.43
12,PDVAX,Barclays US Agg Bond TR USD,21.82,0.9,3.4,7.86,USD,5,5.42,7.13,1.29,2.05
13,VIVAX,S&P 500 TR USD,92.85,0.96,0.66,21.58,USD,5,12.85,15.0,1.15,1.97
14,VSMGX,Morningstar Moderate Target Risk,98.84,0.99,0.55,9.63,USD,5,8.39,9.6,1.13,1.98
15,FSRAX,Morningstar Moderate Target Risk,71.18,0.66,-0.95,7.41,USD,5,6.58,4.95,0.76,1.2
16,PSILX,MSCI ACWI Ex USA NR USD,97.76,1.0,1.98,7.63,USD,5,16.63,7.72,0.53,0.82
17,PRTIX,Barclays US Agg Bond TR USD,89.1,1.42,-2.3,2.35,USD,5,4.25,3.41,0.79,1.31
18,FDGFX,S&P 500 TR USD,91.5,1.13,-2.59,18.24,USD,5,16.55,15.43,0.95,1.55
19,ABALX,Morningstar Moderate Target Risk,94.93,1.01,2.86,12.12,USD,5,8.78,12.35,1.37,2.48
20,PRDMX,S&P 500 TR USD,76.94,1.14,-3.57,17.16,USD,5,16.16,17.61,1.08,1.94
21,EQPIX,S&P 500 TR USD,90.7,0.9,0.01,20.70,USD,5,13.61,13.68,1.01,1.66
22,PRFDX,S&P 500 TR USD,93.59,0.94,-1.0,19.50,USD,5,13.2,13.62,1.03,1.71
23,FNCMX,S&P 500 TR USD,80.89,1.14,-0.21,20.71,USD,5,15.38,18.62,1.19,2.16
24,FISCX,Morningstar Moderate Target Risk,84.53,1.19,1.23,10.09,USD,5,10.88,12.04,1.1,1.88
25,MAIOX,MSCI ACWI Ex USA NR USD,89.38,0.99,0.12,5.54,USD,5,17.18,5.56,0.4,0.61
26,PRWBX,Barclays US Agg Bond TR USD,42.99,0.24,0.63,6.72,USD,5,1.01,1.66,1.55,3.02
27,FHIAX,Barclays US Agg Bond TR USD,1.12,0.23,7.48,37.07,USD,5,6.13,8.62,1.37,2.38
28,VISGX,S&P 500 TR USD,71.11,1.18,-5.12,15.67,USD,5,18.2,18.55,1.03,1.82
29,PRASX,MSCI ACWI Ex USA NR USD,74.97,0.83,3.65,10.03,USD,5,15.79,8.43,0.59,0.91
30,LTEBX,Barclays Municipal TR USD,84.77,0.62,0.33,5.58,USD,5,2.57,3.56,1.34,2.52
31,PIEQX,MSCI ACWI Ex USA NR USD,96.98,1.02,0.39,5.89,USD,5,17.04,6.1,0.43,0.65
32,VASGX,Morningstar Moderate Target Risk,98.46,1.33,-0.71,8.43,USD,5,11.31,11.28,1.0,1.68
33,JCIAX,BofAML USD LIBOR 3 Mon CM,5.11,29.28,-7.2,0.0,USD,5,5.86,0.08,0.03,0.04
34,FAEMX,Barclays US Agg Bond TR USD,16.66,1.04,3.11,6.95,USD,5,7.21,7.33,1.01,1.59
