,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio
0,PTTRX,Barclays US Agg Bond TR USD,78.23,1.02,1.02,4.73,USD,15,4.03,6.8,1.17,2.0
1,VGPMX,MSCI ACWI NR USD,40.85,1.17,6.15,4.64,USD,15,30.21,7.42,0.33,0.47
2,FOSFX,MSCI ACWI Ex USA NR USD,94.99,1.04,-1.08,0.96,USD,15,19.34,2.97,0.15,0.2
3,VMRGX,S&P 500 TR USD,83.25,1.12,-3.23,17.46,USD,15,17.56,4.9,0.25,0.35
4,FSTFX,Barclays Municipal TR USD,78.13,0.41,0.02,3.56,USD,15,2.03,3.43,0.7,1.14
5,OIBAX,Barclays US Agg Bond TR USD,26.9,1.22,1.88,5.12,USD,15,8.23,8.21,0.76,1.2
6,VIVAX,S&P 500 TR USD,92.85,0.96,0.66,21.58,USD,15,15.7,5.8,0.31,0.44
7,VSMGX,Morningstar Moderate Target Risk,97.53,1.07,-1.3,3.0,USD,15,10.26,5.18,0.35,0.49
8,PSILX,MSCI ACWI Ex USA NR USD,97.59,1.03,0.32,2.42,USD,15,18.89,4.46,0.22,0.31
9,PRTIX,Barclays US Agg Bond TR USD,78.31,1.19,-0.99,2.79,USD,15,4.74,5.29,0.71,1.2
10,FDGFX,S&P 500 TR USD,91.5,1.13,-2.59,18.24,USD,15,17.86,5.74,0.29,0.42
11,ABALX,Morningstar Moderate Target Risk,84.86,0.98,1.67,6.07,USD,15,10.07,7.89,0.61,0.91
12,EQPIX,S&P 500 TR USD,90.7,0.9,0.01,20.70,USD,15,15.7,6.29,0.34,0.48
13,PRFDX,S&P 500 TR USD,93.59,0.94,-1.0,19.50,USD,15,15.13,7.01,0.4,0.56
14,FISCX,Morningstar Moderate Target Risk,80.32,1.33,0.84,4.7,USD,15,14.06,8.21,0.5,0.71
15,PRWBX,Barclays US Agg Bond TR USD,63.04,0.38,0.48,4.97,USD,15,1.73,3.86,1.11,1.86
16,FHIAX,Barclays US Agg Bond TR USD,3.2,0.45,3.26,10.48,USD,15,8.65,6.64,0.56,0.76
17,VISGX,S&P 500 TR USD,71.11,1.18,-5.12,15.67,USD,15,21.21,9.46,0.44,0.66
18,PRASX,MSCI ACWI Ex USA NR USD,74.12,1.17,5.85,6.53,USD,15,24.56,9.6,0.42,0.62
19,LTEBX,Barclays Municipal TR USD,89.38,0.73,-0.41,2.92,USD,15,3.36,4.09,0.62,0.98
20,VASGX,Morningstar Moderate Target Risk,97.15,1.4,-2.74,2.07,USD,15,13.44,4.87,0.28,0.38
21,FAEMX,Barclays US Agg Bond TR USD,18.09,1.28,4.18,6.83,USD,15,10.51,10.7,0.84,1.22
22,CMSCX,S&P 500 TR USD,58.9,1.32,-12.4,9.75,USD,15,22.79,7.37,0.34,0.51
23,OPTFX,S&P 500 TR USD,81.58,1.02,-2.21,18.24,USD,15,17.77,4.1,0.21,0.28
24,FLTMX,Barclays Municipal TR USD,95.51,0.76,0.18,3.75,USD,15,3.38,4.8,0.82,1.29
25,NGCAX,MSCI ACWI Ex USA NR USD,63.93,1.06,7.02,8.14,USD,15,23.97,10.57,0.46,0.69
26,TFVAX,Barclays Municipal TR USD,97.39,0.95,-0.83,2.59,USD,15,4.23,4.43,0.58,0.87
27,FCNAX,MSCI ACWI NR USD,70.0,0.84,2.48,4.78,USD,15,16.51,6.0,0.32,0.46
28,HLIEX,S&P 500 TR USD,92.17,0.93,0.56,21.43,USD,15,12.96,6.49,0.4,0.56
29,FOHFX,Barclays Municipal TR USD,98.19,1.01,-0.19,3.3,USD,15,4.48,5.3,0.74,1.11
30,OPATX,Barclays Municipal TR USD,54.5,1.53,-1.52,2.28,USD,15,9.12,5.47,0.42,0.58
31,FKTIX,Barclays Municipal TR USD,94.38,1.02,-0.26,3.23,USD,15,4.61,5.27,0.71,1.05
32,NSTMX,Barclays US Agg Bond TR USD,45.65,0.32,0.5,5.28,USD,15,1.7,3.66,1.0,1.77
33,HLGEX,S&P 500 TR USD,72.39,1.25,-3.82,17.26,USD,15,19.94,7.53,0.37,0.54
34,PCBAX,Morningstar Moderate Target Risk,90.54,1.09,-0.77,3.49,USD,15,10.9,5.78,0.39,0.56
35,HLLVX,Barclays US Agg Bond TR USD,72.37,0.33,0.37,4.86,USD,15,1.43,3.56,1.16,2.31
36,FBIDX,Barclays US Agg Bond TR USD,98.43,0.98,-0.14,3.54,USD,15,3.45,5.43,0.99,1.63
37,FIMIX,Barclays Municipal TR USD,97.78,0.84,-0.12,3.35,USD,15,3.72,4.79,0.74,1.15
38,RPMGX,S&P 500 TR USD,74.7,1.03,-0.95,19.64,USD,15,18.12,10.18,0.52,0.76
39,FBALX,Morningstar Moderate Target Risk,93.13,1.11,0.79,5.0,USD,15,10.94,7.53,0.54,0.78
40,GTFBX,Barclays Municipal TR USD,97.62,1.06,-0.62,2.88,USD,15,4.72,5.03,0.65,0.95
41,FDFFX,S&P 500 TR USD,66.61,1.2,-2.02,18.81,USD,15,23.84,6.45,0.3,0.44
42,MBGRX,MSCI ACWI NR USD,48.44,1.04,7.4,7.91,USD,15,24.52,10.17,0.44,0.67
43,FBGRX,S&P 500 TR USD,80.1,1.2,-1.73,19.24,USD,15,17.16,4.48,0.23,0.32
44,CLSPX,S&P 500 TR USD,73.32,1.16,-7.7,13.03,USD,15,20.84,6.84,0.33,0.5
45,AWSHX,S&P 500 TR USD,92.21,0.85,1.2,22.27,USD,15,13.66,6.59,0.39,0.55
46,FICDX,MSCI ACWI Ex USA NR USD,74.51,0.94,6.66,9.26,USD,15,19.79,10.69,0.52,0.76
47,FRNJX,Barclays Municipal TR USD,95.21,1.04,-0.62,2.86,USD,15,4.69,4.95,0.64,0.94
48,FDETX,S&P 500 TR USD,88.96,1.04,-2.13,18.41,USD,15,16.5,4.36,0.22,0.31
49,PREMX,Barclays US Agg Bond TR USD,18.4,1.24,4.11,6.89,USD,15,10.13,10.51,0.85,1.22
50,VWNFX,S&P 500 TR USD,95.35,0.97,-0.12,20.66,USD,15,15.07,7.23,0.41,0.58
51,JEMDX,Barclays US Agg Bond TR USD,15.6,1.38,3.37,5.79,USD,15,12.25,9.97,0.68,0.92
52,FSPTX,MSCI ACWI NR USD,61.04,1.49,0.69,0.46,USD,15,31.24,2.66,0.18,0.26
