,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio
0,FRIFX,MSCI ACWI NR USD,56.99,0.45,2.81,11.99,USD,10,9.78,6.92,0.58,0.78
1,PTTRX,Barclays US Agg Bond TR USD,69.53,1.01,1.24,4.54,USD,10,3.92,6.11,1.13,2.0
2,VGPMX,MSCI ACWI NR USD,56.66,1.44,-4.6,-0.51,USD,10,31.67,0.78,0.14,0.2
3,PRGTX,MSCI ACWI NR USD,78.52,1.12,6.63,11.1,USD,10,20.84,13.94,0.66,1.02
4,FOSFX,MSCI ACWI Ex USA NR USD,95.43,1.03,-0.62,3.66,USD,10,19.83,5.29,0.29,0.4
5,VMRGX,S&P 500 TR USD,83.25,1.12,-3.23,17.46,USD,10,16.1,8.44,0.49,0.7
6,FSTFX,Barclays Municipal TR USD,74.17,0.38,0.15,3.72,USD,10,1.86,2.92,0.72,1.19
7,OIBAX,Barclays US Agg Bond TR USD,29.69,1.38,-0.22,2.91,USD,10,8.32,5.54,0.51,0.74
8,PDVAX,Barclays US Agg Bond TR USD,33.1,1.25,1.1,4.06,USD,10,7.04,6.58,0.72,1.04
9,VIVAX,S&P 500 TR USD,92.85,0.96,0.66,21.58,USD,10,15.14,7.5,0.46,0.63
10,VSMGX,Morningstar Moderate Target Risk,98.23,1.05,-0.84,4.51,USD,10,10.27,6.28,0.5,0.7
11,PSILX,MSCI ACWI Ex USA NR USD,97.86,1.02,0.9,5.3,USD,10,19.44,6.94,0.37,0.52
12,PRTIX,Barclays US Agg Bond TR USD,73.89,1.23,-0.8,2.56,USD,10,4.68,4.67,0.68,1.19
13,FDGFX,S&P 500 TR USD,91.5,1.13,-2.59,18.24,USD,10,18.47,7.64,0.41,0.59
14,ABALX,Morningstar Moderate Target Risk,93.87,1.01,0.32,5.7,USD,10,10.06,7.28,0.6,0.86
15,PRDMX,S&P 500 TR USD,76.94,1.14,-3.57,17.16,USD,10,18.04,9.56,0.52,0.75
16,EQPIX,S&P 500 TR USD,90.7,0.9,0.01,20.70,USD,10,15.94,6.49,0.38,0.53
17,PRFDX,S&P 500 TR USD,93.59,0.94,-1.0,19.50,USD,10,15.37,7.14,0.43,0.6
18,FNCMX,S&P 500 TR USD,80.89,1.14,-0.21,20.71,USD,10,17.53,9.48,0.52,0.76
19,FISCX,Morningstar Moderate Target Risk,83.98,1.3,-0.76,4.51,USD,10,13.72,7.4,0.48,0.66
20,MAIOX,MSCI ACWI Ex USA NR USD,92.62,1.04,-0.87,3.3,USD,10,20.43,4.97,0.27,0.37
21,PRWBX,Barclays US Agg Bond TR USD,51.44,0.36,0.38,4.36,USD,10,1.61,3.09,0.94,1.53
22,FHIAX,Barclays US Agg Bond TR USD,5.18,0.63,2.99,7.54,USD,10,9.08,6.3,0.55,0.74
23,VISGX,S&P 500 TR USD,71.11,1.18,-5.12,15.67,USD,10,20.18,9.8,0.49,0.72
24,PRASX,MSCI ACWI Ex USA NR USD,76.5,1.17,6.97,9.96,USD,10,25.11,13.15,0.56,0.85
25,LTEBX,Barclays Municipal TR USD,86.86,0.69,-0.28,2.88,USD,10,3.22,3.52,0.61,0.97
26,PIEQX,MSCI ACWI Ex USA NR USD,96.68,0.97,-0.57,3.82,USD,10,18.59,5.23,0.29,0.4
27,VASGX,Morningstar Moderate Target Risk,97.94,1.37,-1.9,3.75,USD,10,13.37,6.65,0.44,0.6
28,FAEMX,Barclays US Agg Bond TR USD,27.59,1.64,1.9,4.25,USD,10,10.18,8.47,0.7,0.96
29,CMSCX,S&P 500 TR USD,58.9,1.32,-12.4,9.75,USD,10,20.12,9.11,0.46,0.66
30,OPTFX,S&P 500 TR USD,81.58,1.02,-2.21,18.24,USD,10,16.58,6.46,0.37,0.51
31,FLTMX,Barclays Municipal TR USD,96.1,0.69,0.3,3.76,USD,10,3.04,4.12,0.82,1.31
32,NGCAX,MSCI ACWI Ex USA NR USD,65.71,1.1,6.36,9.4,USD,10,25.61,11.87,0.51,0.76
33,TFVAX,Barclays Municipal TR USD,97.42,0.93,-0.77,2.43,USD,10,4.11,3.79,0.55,0.82
34,FCNAX,MSCI ACWI NR USD,69.6,0.9,2.82,8.13,USD,10,17.77,8.83,0.48,0.72
35,HLIEX,S&P 500 TR USD,92.17,0.93,0.56,21.43,USD,10,12.83,9.11,0.63,0.88
36,FOHFX,Barclays Municipal TR USD,98.03,0.97,-0.14,3.14,USD,10,4.28,4.58,0.7,1.05
37,OPATX,Barclays Municipal TR USD,55.39,1.78,-2.42,1.66,USD,10,10.53,4.46,0.32,0.45
