,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio
848,FILFX,MSCI ACWI Ex USA NR USD,94.81,0.92,2.68,13.07,USD,3,12.03,12.04,1.0,1.62
849,CWGIX,MSCI ACWI Ex USA NR USD,90.63,0.74,8.37,22.54,USD,3,9.87,16.64,1.61,2.88
850,BDOIX,MSCI ACWI Ex USA NR USD,98.11,1.01,-1.24,8.51,USD,3,13.06,8.68,0.7,1.06
851,FSRPX,MSCI ACWI NR USD,52.36,0.97,8.75,24.72,USD,3,14.12,24.07,1.61,3.13
852,PMDRX,Barclays US Agg Bond TR USD,77.92,0.8,1.82,5.28,USD,3,2.46,4.28,1.7,3.05
853,NMIAX,S&P 500 TR USD,97.65,1.07,-0.22,20.69,USD,3,9.77,22.16,2.11,3.98
854,RARAX,BofAML USD LIBOR 3 Mon CM,1.02,15.5,-5.03,-0.05,USD,3,5.4,-0.66,-0.11,-0.16
855,FRJAX,Morningstar Moderate Target Risk,83.59,0.27,0.77,13.46,USD,3,1.91,3.74,1.9,3.86
856,OEGAX,S&P 500 TR USD,56.06,1.06,-4.25,15.84,USD,3,12.83,16.89,1.28,2.23
857,JASAX,Morningstar Moderate Target Risk,71.6,0.51,-3.09,4.35,USD,3,3.88,2.3,0.59,0.97
858,FBNDX,Barclays US Agg Bond TR USD,96.3,1.08,0.58,3.50,USD,3,2.98,3.83,1.26,2.16
859,FSOPX,S&P 500 TR USD,73.88,1.17,-8.02,12.84,USD,3,12.35,15.13,1.2,2.09
860,FEDCX,Barclays US Agg Bond TR USD,24.93,1.33,3.11,5.26,USD,3,7.2,7.03,0.97,1.53
861,FAMMX,Barclays Municipal TR USD,63.77,0.44,0.22,5.19,USD,3,2.11,2.35,1.08,1.84
862,VLCIX,Barclays US Agg Bond TR USD,84.45,2.75,0.26,3.03,USD,3,8.12,8.39,1.03,1.75
863,MMCVX,S&P 500 TR USD,81.5,1.16,-5.09,15.73,USD,3,11.64,18.35,1.51,2.68
864,TROSX,MSCI ACWI Ex USA NR USD,95.77,0.92,2.36,12.66,USD,3,12.06,11.76,0.98,1.56
865,COVAX,S&P 500 TR USD,70.47,1.15,-4.79,15.88,USD,3,12.4,18.34,1.42,2.58
866,FXCTX,Barclays Municipal TR USD,95.79,1.18,-2.19,2.80,USD,3,4.63,3.37,0.73,1.1
867,JPMNX,Barclays US Agg Bond TR USD,1.52,-0.14,2.61,-15.30,USD,3,3.12,2.23,0.7,1.06
868,VSSCX,S&P 500 TR USD,76.16,1.32,-4.94,16.52,USD,3,13.69,21.89,1.52,2.81
869,CLMPX,Barclays Municipal TR USD,97.36,1.28,0.84,5.42,USD,3,4.96,7.0,1.38,2.44
