,Fund_Ticker,Status,TTM_Yield_in_percent,PortfolioMktValue_in_millions,TotalAssets_in_millions,ExpenseRatio_in_percent,Net Expense Ratio %,Gross Expense Ratio %,Turnover_in_percent,Yield_in_percent,Status,FeeLevel,Fund_Manager,Manager_Start_Date,Fund_Inception,MorningstarCategory,InvestmentStyle,FeeLevel,Load,Max Front Load %,Max Back Load %,Return
29,VWEHX,Open,5.57,16800.0,17200.0,0.23,0.23,0.23,28,4.75,Open,Low,Michael L. Hong,2008-02-14 00:00:00,12/27/1978,High Yield Bond,Low/Limited,Low,None,,,8.73
30,VWAHX,Open,3.80,16800.0,8200.0,0.20,0.20,0.20,29,2.63,Open,Low,Mathew M. Kiselak,2010-07-16 00:00:00,12/27/1978,Muni National Interm,Mid/Moderate,Low,None,,,6.79
31,VIPSX,Open,1.68,16800.0,25500.0,0.20,0.20,0.20,44,0.06,Open,Low,Gemma Wright-Casparius,2011-08-19 00:00:00,06/29/2000,Inflation-Protected Bond,High/Extensive,Low,None,,,6.13
32,VINIX,Open,1.79,16800.0,187600.0,0.04,0.04,0.04,5,1.92,Open,Low,Donald M. Butler,2000-12-31 00:00:00,07/31/1990,Large Blend,Large Blend,Low,None,,,9.64
33,VITPX,Open,1.70,16800.0,40900.0,0.02,0.02,0.02,9,1.81,Open,Low,Michael Perre,2001-05-31 00:00:00,05/31/2001,Large Blend,Large Blend,Low,None,,,6.39
34,VBIIX,Open,2.73,16800.0,16900.0,0.20,0.20,0.20,70,2.37,Open,Low,Joshua C. Barrickman,2008-04-25 00:00:00,03/01/1994,Intermediate-Term Bond,Mid/Extensive,Low,None,,,6.38
35,VFICX,Open,3.08,16800.0,18700.0,0.20,0.20,0.20,100,2.57,Open,Below Average,Gregory S. Nassour,2008-05-29 00:00:00,11/01/1993,Corporate Bond,Mid/Moderate,Below Average,None,,,6.1
36,VFITX,Open,1.61,16800.0,5500.0,0.20,0.20,0.20,42,1.48,Open,Low,David R. Glocke,2001-05-29 00:00:00,10/28/1991,Intermediate Government,High/Moderate,Low,None,,,6.24
37,VWITX,Open,3.07,16800.0,40000.0,0.20,0.20,0.20,16,1.64,Open,Low,James M. D'Arcy,2013-06-28 00:00:00,09/01/1977,Muni National Interm,High/Moderate,Low,None,,,5.64
38,VINEX,Open,2.30,16800.0,2500.0,0.36,0.36,0.36,36,--,Open,Low,Simon H. Thomas,2010-06-09 00:00:00,11/04/1996,Foreign Small/Mid Blend,Mid Growth,Low,None,,,9.9
39,VWIGX,Open,1.45,16800.0,22200.0,0.47,0.48,0.48,21,--,Open,Low,Charles Anniss,2014-10-03 00:00:00,09/30/1981,Foreign Large Growth,Large Growth,Low,None,,,10.79
40,VTRIX,Open,1.90,16800.0,8200.0,0.43,0.43,0.43,52,--,Open,Low,Steven Morrow,2012-08-02 00:00:00,05/16/1983,Foreign Large Value,Large Blend,Low,None,,,9.49
41,VSCGX,Open,2.04,16800.0,7400.0,0.15,0.15,0.15,19,2.12,Open,Low,Management Team,1994-09-30 00:00:00,09/30/1994,Conservative Allocation,Large Blend,Low,None,,,7.24
