,Fund_Ticker,Status,TTM_Yield_in_percent,PortfolioMktValue_in_millions,TotalAssets_in_millions,ExpenseRatio_in_percent,Net Expense Ratio %,Gross Expense Ratio %,Turnover_in_percent,Yield_in_percent,Status,FeeLevel,Fund_Manager,Manager_Start_Date,Fund_Inception,MorningstarCategory,InvestmentStyle,FeeLevel,Load,Max Front Load %,Max Back Load %,Return
281,PAFGX,Open,0.54,16800.0,81.1,1.08,1.26*,2.38,22,--,Open,Below Average,Charles M. Shriver,2013-05-28 00:00:00,05/28/2013,World Allocation,Large Growth,Below Average,None,,,7.46
282,RPGIX,Open,0.00,16800.0,16.9,1.05,1.05*,4.01,6,--,Open,Below Average,Peter J. Bates,2013-10-24 00:00:00,10/24/2013,Industrials,Large Growth,Below Average,None,,,1.00
283,PAGEX,Open,2.04,16800.0,207.4,1.15,1.15*,1.33,23,--,Open,Average,David M. Lee,2008-10-27 00:00:00,10/27/2008,Global Real Estate,Large Blend,Average,None,,,15.49
284,PRGSX,Open,0.19,16800.0,487.9,0.91,0.91,0.91,156,--,Open,Below Average,David J. Eiswert,2012-10-01 00:00:00,12/29/1995,World Stock,Large Growth,Below Average,None,,,7.44
285,PRGTX,Open,0.06,16800.0,1500.0,0.95,0.95,0.95,93,--,Open,Below Average,Joshua K. Spencer,2012-06-01 00:00:00,09/29/2000,Technology,Large Growth,Below Average,None,,,4.5
286,PRGMX,Open,3.11,16800.0,1600.0,0.61,0.61,0.61,261,2.06,Open,Average,Andrew C. McCormick,2008-04-01 00:00:00,11/26/1985,Intermediate Government,High/Moderate,Average,None,,,6.24
287,PRGIX,Open,0.96,16800.0,1500.0,0.68,0.68,0.68,14,--,Open,Below Average,Thomas J. Huber,2007-03-01 00:00:00,12/21/1982,Large Growth,Large Growth,Below Average,None,,,9.86
288,PRGFX,Open,0.03,16800.0,43400.0,0.69,0.69,0.69,35,--,Open,Below Average,Joseph B. Fath,2014-01-16 00:00:00,04/11/1950,Large Growth,Large Growth,Below Average,None,,,10.81
289,PRHSX,Open,0.00,16800.0,11000.0,0.79,0.79,0.79,46,--,Open,Low,Taymour R. Tamaddon,2013-02-15 00:00:00,12/29/1995,Health,Large Growth,Low,None,,,15.12
290,PRHYX,Limited,6.15,16800.0,9700.0,0.75,0.75,0.75,56,5.27,Limited,Low,Mark J. Vaselkiv,1996-06-30 00:00:00,12/31/1984,High Yield Bond,Low/Limited,Low,None,,,8.65
291,PRIPX,Open,0.38,16800.0,407.4,0.50,0.50*,0.59,28,--,Open,Below Average,Daniel O. Shackelford,2002-10-31 00:00:00,10/31/2002,Inflation-Protected Bond,High/Extensive,Below Average,None,,,4.85
292,TRIAX,Open,1.38,16800.0,245.3,1.25,1.25*,1.21,52,--,Open,Above Average,Oliver D.M. Bell,2011-10-11 00:00:00,04/30/2008,Miscellaneous Region,Mid Growth,Above Average,None,,,-1.33
293,RPICX,Open,1.78,16800.0,150.0,0.75,0.75*,3.35,148,--,Open,Below Average,Federico Santilli,2010-07-27 00:00:00,07/27/2010,Foreign Large Blend,Large Value,Below Average,None,,,11.45
294,TRXPX,Open,--,16800.0,77.4,0.65,0.65,0.65,10,7.50,Open,Below Average,Paul A. Karpers,2014-04-29 00:00:00,04/29/2014,High Yield Bond,--,Below Average,None,,,-2.18
295,TICPX,Open,3.19,16800.0,538.3,0.34,0.40*,0.46,132,2.77,Open,Low,Brian J. Brennan,2004-11-30 00:00:00,11/30/2004,Intermediate-Term Bond,Low/Moderate,Low,None,,,5.51
296,TREBX,Open,5.49,16800.0,338.6,0.70,0.70,0.70,52,5.65,Open,Low,Michael J. Conelius,2006-11-30 00:00:00,11/30/2006,Emerging Markets Bond,Low/Moderate,Low,None,,,6.77
297,IEMFX,Open,0.79,16800.0,983.2,1.10,1.10,1.10,36,--,Open,Below Average,Gonzalo Pangaro,2008-03-01 00:00:00,10/31/2002,Diversified Emerging Mkts,Large Growth,Below Average,None,,,13.08
298,RPIFX,Open,4.28,16800.0,3300.0,0.56,0.56,0.56,59,4.36,Open,Low,Paul M. Massaro,2009-05-01 00:00:00,01/31/2008,Bank Loan,Low/Limited,Low,None,,,5.87
299,TRGSX,Open,0.43,16800.0,28.2,0.75,0.75*,0.82,160,--,Open,Low,David J. Eiswert,2012-10-01 00:00:00,06/30/2006,World Stock,Large Growth,Low,None,,,4.91
300,RPIGX,Open,0.54,16800.0,256.5,0.75,0.75*,0.89,101,--,Open,Low,R. Scott Berg,2008-10-27 00:00:00,10/27/2008,World Stock,Large Growth,Low,None,,,19.86
301,RPGMX,Open,3.99,16800.0,105.5,0.42,0.50*,0.58,65,3.76,Open,Low,Steven C. Huber,2013-10-24 00:00:00,10/24/2013,World Bond,--,Low,None,,,4.74
302,PRIGX,Open,1.23,16800.0,10.1,0.75,0.75*,4.05,81,--,Open,Low,Sebastien Mallet,2012-07-26 00:00:00,07/26/2012,World Stock,Large Value,Low,None,,,22.36
303,TRHYX,Limited,6.31,16800.0,2400.0,0.50,0.50,0.50,59,5.60,Limited,Low,Paul A. Karpers,2008-01-02 00:00:00,05/31/2002,High Yield Bond,Low/Limited,Low,None,,,8.82
304,RPIIX,Open,2.67,16800.0,301.2,0.55,0.55,0.55,83,1.70,Open,Low,Arif Husain,2014-01-01 00:00:00,05/31/2007,World Bond,Mid/Moderate,Low,None,,,4.11
305,TRCEX,Open,1.93,16800.0,90.7,0.75,0.75*,1.00,16,--,Open,Below Average,Raymond A. Mills,2010-10-27 00:00:00,10/27/2010,Foreign Large Blend,Large Blend,Below Average,None,,,7.75
306,PRFEX,Open,1.16,16800.0,68.7,0.75,0.75*,1.00,48,--,Open,Below Average,Robert W. Smith,2007-10-01 00:00:00,09/07/1989,Foreign Large Growth,Large Growth,Below Average,None,,,5.94
307,TPLGX,Open,0.14,16800.0,1500.0,0.60,0.59,0.59,47,--,Open,Low,Larry J. Puglia,2003-09-30 00:00:00,09/30/2003,Large Growth,Large Growth,Low,None,,,9.1
308,TRLGX,Open,0.03,16800.0,11500.0,0.56,0.56,0.56,42,--,Open,Low,Robert W. Sharps,2001-10-31 00:00:00,10/31/2001,Large Growth,Large Growth,Low,None,,,8.9
309,TILCX,Open,1.18,16800.0,2200.0,0.58,0.58,0.58,10,--,Open,Low,Brian C. Rogers,2000-03-31 00:00:00,03/31/2000,Large Value,Large Value,Low,None,,,8.19
310,RPLCX,Open,3.87,16800.0,19.1,0.45,0.45,0.45,76,4.07,Open,Low,David A. Tiberii,2013-06-03 00:00:00,06/03/2013,Corporate Bond,Mid/Extensive,Low,None,,,6.02
311,PMEGX,Limited,0.00,16800.0,5000.0,0.61,0.61,0.61,34,--,Limited,Low,Brian W.H. Berghuis,1996-07-31 00:00:00,07/31/1996,Mid-Cap Growth,Mid Growth,Low,None,,,11.96
312,TRISX,Open,0.98,16800.0,763.5,0.55,0.55,0.55,37,--,Open,Low,Anna M. Dopkin,2007-10-31 00:00:00,10/31/2007,Large Blend,Large Blend,Low,None,,,5.95
313,RPIBX,Open,2.37,16800.0,4700.0,0.83,0.83,0.83,74,1.30,Open,Below Average,Arif Husain,2014-01-01 00:00:00,09/10/1986,World Bond,Mid/Moderate,Below Average,None,,,6.23
314,PRIDX,Open,1.09,16800.0,3500.0,1.23,1.23,1.23,50,--,Open,Below Average,Justin Thomson,1998-12-31 00:00:00,12/30/1988,Foreign Small/Mid Growth,Mid Growth,Below Average,None,,,10.37
315,PIEQX,Open,2.11,16800.0,557.8,0.50,0.50,0.50,12,--,Open,Low,Neil Smith,2007-12-31 00:00:00,11/30/2000,Foreign Large Blend,Large Blend,Low,None,,,4.35
316,PRITX,Open,0.89,16800.0,13300.0,0.85,0.85,0.85,44,--,Open,Below Average,Robert W. Smith,2007-10-01 00:00:00,05/09/1980,Foreign Large Growth,Large Growth,Below Average,None,,,9.32
317,TRIGX,Open,2.29,16800.0,10500.0,0.86,0.86,0.86,42,--,Open,Below Average,Jonathan H.W. Matthews,2010-07-01 00:00:00,12/21/1998,Foreign Large Value,Large Value,Below Average,None,,,5.83
318,PRJPX,Open,0.62,16800.0,309.4,1.06,1.06,1.06,89,--,Open,Below Average,Archibald A. Ciganer,2013-12-27 00:00:00,12/30/1991,Japan Stock,Large Blend,Below Average,None,,,1.53
319,PRLAX,Open,1.94,16800.0,927.2,1.25,1.25,1.25,13,--,Open,Below Average,Verena E. Wachnitz,2014-03-26 00:00:00,12/29/1993,Latin America Stock,Large Blend,Below Average,None,,,8.21
320,PRMDX,Open,0.62,16800.0,216.5,0.53,0.53,0.53,20,0.17,Open,Average,Charles B. Hill,1996-12-31 00:00:00,01/29/1993,Muni Single State Short,Mid/Limited,Average,None,,,2.95
321,MDXBX,Open,3.65,16800.0,2000.0,0.46,0.46,0.46,12,2.32,Open,Low,Hugh D. McGuirk,2000-03-31 00:00:00,03/31/1987,Muni Single State Long,Mid/Limited,Low,None,,,5.6
322,PRMTX,Open,0.26,16800.0,3300.0,0.80,0.80,0.80,54,--,Open,Low,Paul D. Greene II,2013-05-13 00:00:00,10/13/1993,Communications,Large Growth,Low,None,,,14.62
323,RPMGX,Limited,0.00,16800.0,23900.0,0.78,0.78,0.78,26,--,Limited,Low,Brian W.H. Berghuis,1992-06-30 00:00:00,06/30/1992,Mid-Cap Growth,Mid Growth,Low,None,,,13.78
324,TRMCX,Limited,0.64,16800.0,12300.0,0.80,0.80,0.80,32,--,Limited,Low,David J. Wallack,2000-12-31 00:00:00,06/28/1996,Mid-Cap Value,Mid Value,Low,None,,,11.97
325,PRWAX,Open,0.00,16800.0,4400.0,0.81,0.81,0.81,92,--,Open,Below Average,Daniel Martino,2013-05-13 00:00:00,09/30/1985,Large Growth,Large Growth,Below Average,None,,,10.57
326,PRASX,Open,0.81,16800.0,4300.0,0.93,0.93,0.93,49,--,Open,Low,Ernest C. Yeung,2014-01-30 00:00:00,09/28/1990,Pacific/Asia ex-Japan Stk,Large Growth,Low,None,,,9.25
327,PRNEX,Open,0.55,16800.0,4200.0,0.66,0.66,0.66,55,--,Open,Low,Shawn T. Driscoll,2013-09-30 00:00:00,01/20/1969,Natural Resources,Large Blend,Low,None,,,10.2
328,PRNHX,Limited,0.00,16800.0,15300.0,0.80,0.80,0.80,35,--,Limited,Low,Henry M. Ellenbogen,2010-03-01 00:00:00,06/03/1960,Small Growth,Mid Growth,Low,None,,,11.4
329,PRCIX,Open,2.61,16800.0,27300.0,0.59,0.61*,0.63,121,2.14,Open,Below Average,Daniel O. Shackelford,2002-12-01 00:00:00,08/31/1973,Intermediate-Term Bond,Mid/Moderate,Below Average,None,,,7.33
330,NJTFX,Open,3.47,16800.0,324.4,0.52,0.52,0.52,17,2.34,Open,Below Average,Konstantine B. Mallas,2000-04-30 00:00:00,04/30/1991,Muni New Jersey,Mid/Moderate,Below Average,None,,,5.67
331,PRNYX,Open,3.40,16800.0,442.2,0.50,0.50,0.50,10,2.04,Open,Below Average,Konstantine B. Mallas,2000-04-30 00:00:00,08/28/1986,Muni New York Long,Mid/Moderate,Below Average,None,,,5.79
332,TROSX,Open,1.89,16800.0,9500.0,0.86,0.86,0.86,15,--,Open,Below Average,Raymond A. Mills,2006-12-29 00:00:00,12/29/2006,Foreign Large Blend,Large Blend,Below Average,None,,,1.95
333,TRPBX,Open,1.74,16800.0,2000.0,0.59,0.72*,0.85,53,--,Open,Low,Charles M. Shriver,2011-05-01 00:00:00,07/29/1994,Moderate Allocation,Large Growth,Low,None,,,8.84
334,TRSGX,Open,0.95,16800.0,1600.0,0.69,0.79*,0.90,46,--,Open,Low,Charles M. Shriver,2011-05-01 00:00:00,07/29/1994,Aggressive Allocation,Large Growth,Low,None,,,9.43
335,PRSIX,Open,1.88,16800.0,1400.0,0.45,0.59*,0.73,59,--,Open,Low,Charles M. Shriver,2011-05-01 00:00:00,07/29/1994,Conservative Allocation,Large Growth,Low,None,,,7.93
336,PRAFX,Open,1.35,16800.0,4300.0,0.85,0.85,0.85,52,--,Open,Below Average,Wyatt A. Lee,2011-05-01 00:00:00,07/28/2010,Natural Resources,Large Blend,Below Average,None,,,4.91
337,TRREX,Open,2.04,16800.0,4900.0,0.79,0.79,0.79,4,--,Open,Low,David M. Lee,1997-10-31 00:00:00,10/31/1997,Real Estate,Mid Blend,Low,None,,,9.91
338,TRRFX,Open,1.81,16800.0,1600.0,0.59,0.59,0.59,18,--,Open,Below Average,Jerome A. Clark,2004-02-27 00:00:00,02/27/2004,Target Date 2000-2010,Large Blend,Below Average,None,,,6.1
339,TRRAX,Open,1.72,16800.0,6500.0,0.59,0.59,0.59,19,--,Open,Below Average,Jerome A. Clark,2002-09-30 00:00:00,09/30/2002,Target Date 2000-2010,Large Blend,Below Average,None,,,8.27
340,TRRGX,Open,1.55,16800.0,10200.0,0.63,0.63,0.63,15,--,Open,Low,Jerome A. Clark,2004-02-27 00:00:00,02/27/2004,Target Date 2011-2015,Large Blend,Low,None,,,6.75
341,TRRBX,Open,1.40,16800.0,24000.0,0.67,0.67,0.67,14,--,Open,Below Average,Jerome A. Clark,2002-09-30 00:00:00,09/30/2002,Target Date 2016-2020,Large Blend,Below Average,None,,,9.27
342,TRRHX,Open,1.32,16800.0,16300.0,0.70,0.70,0.70,12,--,Open,Below Average,Jerome A. Clark,2004-02-27 00:00:00,02/27/2004,Target Date 2021-2025,Large Growth,Below Average,None,,,7.26
343,TRRCX,Open,1.18,16800.0,22400.0,0.73,0.73,0.73,12,--,Open,Below Average,Jerome A. Clark,2002-09-30 00:00:00,09/30/2002,Target Date 2026-2030,Large Growth,Below Average,None,,,9.95
344,TRRJX,Open,0.96,16800.0,11800.0,0.75,0.75,0.75,12,--,Open,Below Average,Jerome A. Clark,2004-02-27 00:00:00,02/27/2004,Target Date 2031-2035,Large Growth,Below Average,None,,,7.54
345,TRRDX,Open,0.98,16800.0,15400.0,0.76,0.76,0.76,13,--,Open,Below Average,Jerome A. Clark,2002-09-30 00:00:00,09/30/2002,Target Date 2036-2040,Large Growth,Below Average,None,,,10.12
346,TRRKX,Open,0.94,16800.0,6700.0,0.76,0.76,0.76,15,--,Open,Below Average,Jerome A. Clark,2005-05-31 00:00:00,05/31/2005,Target Date 2041-2045,Large Growth,Below Average,None,,,7.74
347,PARFX,Open,0.78,16800.0,4800.0,1.01,1.01,1.01,16,--,Open,Above Average,Jerome A. Clark,2006-12-29 00:00:00,12/29/2006,Target Date 2046-2050,Large Growth,Above Average,None,,,5.75
348,TRRNX,Open,0.99,16800.0,1400.0,0.76,0.76,0.76,20,--,Open,Below Average,Jerome A. Clark,2006-12-29 00:00:00,12/29/2006,Target Date 2051+,Large Growth,Below Average,None,,,6.01
349,TRRYX,Open,--,16800.0,5.9,1.01,1.01,1.01,--,--,Open,Above Average,Jerome A. Clark,2014-06-23 00:00:00,06/23/2014,Target Date 2051+,Large Growth,Above Average,None,,,-1.80
350,TRRIX,Open,1.46,16800.0,3800.0,0.57,0.57,0.57,13,1.39,Open,Low,Jerome A. Clark,2002-09-30 00:00:00,09/30/2002,Conservative Allocation,Large Blend,Low,None,,,6.84
351,PRSCX,Open,0.00,16800.0,3700.0,0.86,0.86,0.86,72,--,Open,Below Average,Kennard W. Allen,2009-01-01 00:00:00,09/30/1987,Technology,Large Growth,Below Average,None,,,10.32
352,PRWBX,Open,1.44,16800.0,6600.0,0.52,0.52,0.52,46,0.91,Open,Below Average,Edward A. Wiese,1995-01-01 00:00:00,03/02/1984,Short-Term Bond,Mid/Limited,Below Average,None,,,5.4
353,OTCFX,Limited,0.00,16800.0,9700.0,0.91,0.91,0.91,22,--,Limited,Low,Gregory A. McCrickard,1992-09-02 00:00:00,06/01/1956,Small Growth,Small Growth,Low,None,,,13.09
354,PRSVX,Open,0.26,16800.0,9300.0,0.81,0.96,0.96,6,--,Open,Low,J. David Wagner,2014-06-30 00:00:00,06/30/1988,Small Blend,Small Blend,Low,None,,,11.78
355,PRSGX,Open,0.83,16800.0,4000.0,0.80,0.80,0.80,10,--,Open,Below Average,Charles M. Shriver,2011-05-01 00:00:00,06/29/1990,Large Growth,Large Growth,Below Average,None,,,9.48
356,RPSIX,Open,3.32,16800.0,6700.0,0.69,0.69,0.69,14,2.78,Open,Low,Charles M. Shriver,2011-05-01 00:00:00,06/29/1990,Multisector Bond,Low/Moderate,Low,None,,,7.5
357,PSILX,Open,1.32,16800.0,1200.0,0.94,0.94,0.94,5,--,Open,Below Average,Charles M. Shriver,2012-04-30 00:00:00,12/31/1996,Foreign Large Blend,Large Blend,Below Average,None,,,5.8
358,PRSAX,Open,3.66,16800.0,292.1,0.86,0.95*,1.27,138,3.71,Open,Average,Steven C. Huber,2008-12-15 00:00:00,12/15/2008,World Bond,Low/Moderate,Average,None,,,8.66
359,PRINX,Open,3.53,16800.0,936.8,0.50,0.50,0.50,26,2.27,Open,Below Average,Konstantine B. Mallas,1999-02-28 00:00:00,10/29/1993,Muni National Long,Mid/Moderate,Below Average,None,,,5.59
360,PRSMX,Open,2.63,16800.0,3900.0,0.50,0.50,0.50,12,1.37,Open,Below Average,Charles B. Hill,1996-12-31 00:00:00,10/29/1993,Muni National Interm,Mid/Limited,Below Average,None,,,4.92
361,PANRX,Open,0.55,16800.0,13.8,0.84,0.84,0.84,45,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2000-2010,Large Blend,Above Average,None,,,7.77
362,PAERX,Open,0.54,16800.0,24.4,0.84,0.84,0.84,21,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2000-2010,Large Blend,Above Average,None,,,8.13
363,PAHRX,Open,0.45,16800.0,59.9,0.87,0.87,0.87,15,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2011-2015,Large Blend,Above Average,None,,,8.89
364,PAIRX,Open,0.53,16800.0,68.5,0.90,0.90,0.90,25,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2016-2020,Large Blend,Above Average,None,,,9.83
365,PAJRX,Open,0.53,16800.0,56.5,0.93,0.93,0.93,26,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2021-2025,Large Growth,Above Average,None,,,10.94
366,PAKRX,Open,0.61,16800.0,55.0,0.96,0.96,0.96,10,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2026-2030,Large Growth,Above Average,None,,,12.02
367,PATVX,Open,0.68,16800.0,37.2,0.99,0.99,0.99,25,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2031-2035,Large Growth,Above Average,None,,,13.05
368,PAHHX,Open,0.68,16800.0,28.2,1.00,1.00,1.00,15,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2036-2040,Large Growth,Above Average,None,,,13.58
369,PAFFX,Open,0.76,16800.0,17.4,1.00,1.00,1.00,12,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2041-2045,Large Growth,Above Average,None,,,14.08
370,PAOFX,Open,0.67,16800.0,8.3,1.01,1.01,1.01,21,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2046-2050,Large Growth,Above Average,None,,,14.52
371,PAFTX,Open,0.59,16800.0,6.1,1.01,1.01,1.01,60,--,Open,Above Average,Wyatt A. Lee,2013-08-20 00:00:00,08/20/2013,Target Date 2051+,Large Growth,Above Average,None,,,14.69
372,TRTGX,Open,--,16800.0,2.0,1.01,1.01,1.01,--,--,Open,Above Average,Wyatt A. Lee,2014-06-23 00:00:00,06/23/2014,Target Date 2051+,Large Growth,Above Average,None,,,-1.80
373,PREFX,Open,0.26,16800.0,156.9,0.89,0.89,0.89,18,--,Open,Average,Donald J. Peters,2000-12-29 00:00:00,12/29/2000,Large Growth,Large Growth,Average,None,,,5.75
374,PRFHX,Open,4.16,16800.0,3100.0,0.68,0.68,0.68,23,3.15,Open,Average,James M. Murphy,2002-01-31 00:00:00,03/01/1985,High Yield Muni,Low/Moderate,Average,None,,,6.93
375,PRTAX,Open,3.82,16800.0,2600.0,0.52,0.52,0.52,14,2.09,Open,Below Average,Konstantine B. Mallas,2007-12-31 00:00:00,10/26/1976,Muni National Long,Mid/Moderate,Below Average,None,,,6.25
376,PRFSX,Open,1.48,16800.0,2100.0,0.50,0.50,0.50,20,0.52,Open,Below Average,Charles B. Hill,1995-12-31 00:00:00,12/23/1983,Muni National Short,Mid/Limited,Below Average,None,,,4.56
377,POMIX,Open,1.13,16800.0,1100.0,0.37,0.35,0.35,6,--,Open,Low,Ken D. Uematsu,2008-12-31 00:00:00,01/30/1998,Large Blend,Large Blend,Low,None,,,6.49
378,PBDIX,Open,2.82,16800.0,630.2,0.30,0.30,0.30,75,1.91,Open,Low,Robert M. Larkins,2007-04-24 00:00:00,11/30/2000,Intermediate-Term Bond,Mid/Moderate,Low,None,,,5.21
379,TRBUX,Open,0.39,16800.0,576.5,0.35,0.35*,0.49,176,0.47,Open,Low,Joseph K. Lynagh,2012-12-04 00:00:00,12/04/2012,Ultrashort Bond,Mid/Limited,Low,None,,,0.32
380,PAULX,Open,0.47,16800.0,96.5,1.20,1.20*,1.44,69,--,Open,Above Average,Jeffrey Rottinghaus,2009-06-26 00:00:00,06/26/2009,Large Blend,Large Growth,Above Average,None,,,16.95
381,PRTIX,Open,1.97,16800.0,386.8,0.51,0.51,0.51,34,1.22,Open,Below Average,Brian J. Brennan,2007-11-01 00:00:00,09/29/1989,Intermediate Government,High/Moderate,Below Average,None,,,5.96
382,PRULX,Open,2.62,16800.0,349.3,0.52,0.52,0.52,23,2.26,Open,Below Average,Brian J. Brennan,2003-10-31 00:00:00,09/29/1989,Long Government,High/Extensive,Below Average,None,,,7.5
383,PRVAX,Open,3.42,16800.0,967.2,0.48,0.48,0.48,10,1.95,Open,Below Average,Hugh D. McGuirk,1997-02-28 00:00:00,04/30/1991,Muni Single State Long,Mid/Limited,Below Average,None,,,5.71
384,TRVLX,Open,1.02,16800.0,21900.0,0.84,0.84,0.84,44,--,Open,Below Average,Mark S. Finn,2009-12-31 00:00:00,09/30/1994,Large Value,Large Value,Below Average,None,,,11.48
385,JASAX,Open,0.73,16800.0,11.1,0.94,1.67*,4.33,93,--,Open,Low,Luying Wei,2013-08-01 00:00:00,07/01/2010,Multialternative,Large Blend,Low,4.50,4.50,,0.23
386,JAPFX,Open,1.03,16800.0,6.8,1.55,1.55*,6.50,89,--,Open,Below Average,Geoff Hoare,2012-07-02 00:00:00,07/02/2012,Pacific/Asia ex-Japan Stk,Large Blend,Below Average,5.25,5.25,,8.76
387,JPICX,Open,3.01,16800.0,275.1,0.49,0.50*,0.56,7,1.35,Open,Below Average,David Sivinski,2005-04-29 00:00:00,12/23/1996,Muni California Intermediate,Mid/Moderate,Below Average,None,,,4.6
388,JCHAX,Open,0.29,16800.0,344.8,1.85,1.86*,2.30,72,--,Open,Above Average,Emerson Yip,2008-02-29 00:00:00,02/28/2007,China Region,Large Growth,Above Average,5.25,5.25,,4.20
389,CSAFX,Open,0.00,16800.0,117.4,1.22,1.28*,2.77,0,--,Open,Below Average,Christopher M. Tufts,2012-12-17 00:00:00,12/17/2012,Commodities Broad Basket,--,Below Average,5.25,5.25,,-12.75
390,WOBDX,Open,2.53,16800.0,25900.0,0.58,0.58*,0.72,15,2.05,Open,Average,Christopher J. Nauseda,2006-05-31 00:00:00,06/03/1991,Intermediate-Term Bond,Mid/Moderate,Average,None,,,6.54
391,ONIAX,Open,3.37,16800.0,3100.0,0.75,0.75*,0.95,25,2.84,Open,Low,J. Andrew Norelli,2014-03-03 00:00:00,03/05/1993,Intermediate-Term Bond,Low/Moderate,Low,3.75,3.75,,5.47
392,CBRAX,Open,2.75,16800.0,829.4,0.74,0.76*,0.97,--,2.72,Open,Low,Jeremy Klein,2013-03-01 00:00:00,03/01/2013,Long-Term Bond,--,Low,3.75,3.75,,-0.54
393,JPCIX,Open,0.14,16800.0,10.1,0.16,0.25*,1.95,33,0.13,Open,Low,Adam Ackermann,2013-04-12 00:00:00,07/21/2011,Short-Term Bond,--,Low,None,,,0.21
394,JPIEX,Open,1.12,16800.0,5300.0,0.45,0.45*,0.50,113,--,Open,Low,Aryeh Glatter,2014-01-24 00:00:00,01/03/1997,Large Blend,Large Blend,Low,None,,,7.71
395,JPDVX,Open,2.18,16800.0,1300.0,0.55,0.77*,0.95,58,--,Open,Low,John R. Speer,2014-11-01 00:00:00,09/10/1993,Moderate Allocation,Large Blend,Low,None,,,7.72
396,JRNAX,Open,1.94,16800.0,59.7,1.20,1.20*,1.58,59,--,Open,Above Average,Nicole Goldberger,2011-12-21 00:00:00,03/31/2011,Conservative Allocation,Large Blend,Above Average,4.50,4.50,,-0.68
397,DGAAX,Open,0.00,16800.0,322.4,1.24,1.20*,1.41,55,--,Open,Average,Gregory B. Luttrell,2007-11-30 00:00:00,11/30/2007,Large Growth,Large Growth,Average,5.25,5.25,,6.49
398,VSCOX,Limited,0.00,16800.0,561.6,1.33,1.43*,1.59,65,--,Limited,Average,Eytan M. Shapiro,2004-09-29 00:00:00,05/19/1997,Small Growth,Small Growth,Average,5.25,5.25,,8.26
399,JEEAX,Open,1.14,16800.0,1300.0,1.60,1.60*,1.72,43,--,Open,Below Average,Anuj Arora,2008-02-28 00:00:00,02/28/2008,Diversified Emerging Mkts,Large Value,Below Average,5.25,5.25,,-1.47
400,JEMDX,Open,3.41,16800.0,1100.0,0.99,0.96*,1.14,120,4.70,Open,Above Average,Matias Silvani,2010-07-01 00:00:00,04/17/1997,Emerging Markets Bond,Low/Extensive,Above Average,None,,,8.75
401,JMIEX,Open,0.72,16800.0,2500.0,1.36,1.31*,1.40,34,--,Open,Above Average,Amit Mehta,2013-02-28 00:00:00,11/15/1993,Diversified Emerging Mkts,Large Growth,Above Average,None,,,5.69
402,JECAX,Open,0.00,16800.0,305.7,1.21,1.30*,1.64,221,3.80,Open,Below Average,Didier Lambert,2012-06-29 00:00:00,06/29/2012,Emerging Markets Bond,--,Below Average,3.75,3.75,,-4.56
403,JPFAX,Open,0.00,16800.0,78.3,1.24,1.26*,2.19,--,--,Open,Average,Jonathan K.L. Simon,2011-07-29 00:00:00,07/29/2011,Large Growth,Large Growth,Average,5.25,5.25,,14.83
404,HLIEX,Open,1.69,16800.0,8900.0,0.79,0.79,0.79,--,1.66,Open,Average,Jonathan K.L. Simon,2004-08-01 00:00:00,07/02/1987,Large Value,Large Value,Average,None,,,9.14
405,HLEIX,Open,1.60,16800.0,2000.0,0.20,0.20*,0.65,5,--,Open,Low,Nicholas W. D'Eramo,2014-11-01 00:00:00,07/02/1991,Large Blend,Large Blend,Low,None,,,9.32
406,JPHAX,Open,3.88,16800.0,3200.0,0.98,1.03*,1.19,61,3.41,Open,Below Average,Chad A. Engelbert,2013-02-11 00:00:00,06/01/2011,Bank Loan,Low/Moderate,Below Average,2.25,2.25,,3.19
407,GAOAX,Open,0.88,16800.0,95.5,1.05,1.21*,3.46,120,1.43,Open,Low,Grace Koo,2014-02-28 00:00:00,05/31/2011,World Allocation,Large Blend,Low,4.50,4.50,,4.81
408,GBOAX,Open,3.14,16800.0,579.4,0.89,0.91*,2.42,77,3.51,Open,Low,Nicholas J. Gartside,2013-12-27 00:00:00,09/04/2012,World Bond,Low/Limited,Low,3.75,3.75,,4.19
409,JEIAX,Open,3.87,16800.0,117.3,1.24,1.26*,1.74,63,2.48,Open,Below Average,James M. Davidson,2014-02-28 00:00:00,02/28/2011,World Stock,Large Value,Below Average,5.25,5.25,,4.45
