"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Mobileye NV","0.35","EQUITY","MBLY","Mid Growth","2014-09-30","211900","211900","Technology","40.78","-1.19|-2.84%","42.02-40.51","1790570","60.28-31.11","Netherlands","-22.59","-","-","-","8910.28","USD","-","-","44.6","-","-","-"
"Workday Inc Class A","0.32","EQUITY","WDAY","Mid Growth","2012-12-31","127200","0","Technology","81.58","-1.4|-1.69%","82.86-81","1588250","116.47-64.21","United States","-10.37","4.76","-","-","15517.26","USD","-","-0.22","-","-","-","-"
"Red Hat Inc","0.32","EQUITY","RHT","Mid Growth","2013-03-31","185700","0","Technology","57.87","-0.55|-0.94%","58.89-57.87","1813258","63.69-46.05","United States","-5.29","26.59","5.54","15.66","10972.58","USD","2","4.25","61.58","-","-","-"
"Angie's List Inc","0.31","EQUITY","ANGI","Small Growth","2013-09-30","1576700","0","Technology","5.95","0.06|1.02%","6.03-5.78","450694","19.8-5.54","United States","-22.7","-52.61","-28.38","-","344.66","USD","-","-61.12","-","-","-","-"
"Telecom Italia SpA","0.3","EQUITY","TIT","Large Value","2014-09-30","8486703","8486703","Communication Services","0.91","-0.03|-3.02%","0.94-0.91","100056446","1.01-0.66","Italy","1.13","40.67","5.2","-0.16","18325.18","EUR","3","30.72","24.15","-","-","-"
"Marketo Inc","0.29","EQUITY","MKTO","-","2013-12-31","297700","0","Technology","29.35","-0.29|-0.98%","29.83-28.95","372565","45-22.02","United States","-12.15","-4.2","-","-","1221.53","USD","-","-20.04","-","-","-","-"
"CBS Outdoor Americas Inc","0.26","EQUITY","OUT","Small Core","2014-03-31","280300","0","Real Estate","26.78","-0.17|-0.63%","27.14-26.6","497286","35.69-26.14","United States","3.31","-","-","-","3234.29","USD","-","-","9.83","-","-","-"
"News Corp Class A","0.25","EQUITY","NWSA","Mid Growth","2014-09-30","492800","492800","Consumer Cyclical","15.05","-0.28|-1.83%","15.29-15.05","3822003","18.53-14.28","United States","-11.28","-12.9","-","-","8892.56","USD","3","-14.93","32.09","-","-","-"
"Cvent Inc","0.19","EQUITY","CVT","Small Growth","2013-09-30","241600","126290","Technology","27.59","-0.15|-0.54%","28.12-27.17","183302","44.31-22.13","United States","2.1","-17.78","-","-","1146.39","USD","-","-23.77","359.84","-","-","-"
"Opower Inc","0.11","EQUITY","OPWR","-","2014-06-30","186600","0","Technology","14.21","-0.27|-1.86%","14.74-14.02","242344","26-14.02","United States","-23.18","-","-","-","721.72","USD","-","-","-","-","-","-"
"Central European Media Enterprises Ltd Class A","0.08","EQUITY","CETV","Small Value","2013-12-31","1215800","0","Consumer Cyclical","2.7","-0.01|-0.37%","2.77-2.61","230729","5.17-2.12","Czech Republic","13.87","4.23","-29.67","-35.89","366.76","USD","-","-29.43","-","-","-","-"
"Central European Media 15%","0.06","BOND - CORPORATE BOND","-","-","-","1960600","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-12-01","15","-"
"Oando PLC","0.01","EQUITY","OANDO","Small Value","2009-06-30","15041","-82471","Energy","-","-","-","-","-","-","-24.3","19.23","-6.99","-17.85","121700.94","NGN","-","-21.33","-","-","-","-"
