"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"FNMA 0.875%","0.7","BOND - GOV'T AGENCY DEBT","-","-","-","28100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-10-26","0.88","-"
"Sallie Mae 6.25%","0.62","BOND - CORPORATE BOND","-","-","-","23000000","20200000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-01-25","6.25","-"
"Johnson & Johnson FRN","0.6","BOND - CORPORATE BOND","-","-","-","23700000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-11-28","0.3","-"
"Verizon Comms FRN","0.58","BOND - CORPORATE BOND","-","-","-","22500000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-09-15","1.76","-"
"Pepsico FRN","0.57","BOND - CORPORATE BOND","-","-","-","22500000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-07-30","0.42","-"
"FNMA","0.56","BOND - GOV'T AGENCY PASS-THRU","-","-","-","20000000","20000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-07-14","5","-"
"FNMA","0.56","BOND - GOV'T AGENCY PASS-THRU","-","-","-","20000000","20000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-08-12","5","-"
"FNMA 4.5%","0.55","BOND - GOV'T AGENCY PASS-THRU","-","-","-","20682365","-2235827","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-11-01","4.5","-"
"Irs Usd 2.750 06/19/13-30y Cme","-0.52","INTEREST RATE SWAP","-","-","-","23400000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2043-06-19","2.75","-"
"US Treasury TIP 2.375%","0.5","BOND - GOV'T INFLATION PROTECTED","-","-","-","16221210","216108","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2027-01-15","2.38","-"
"Citigroup FRN","0.49","BOND - CORPORATE BOND","-","-","-","19400000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-07-25","1.19","-"
"Wells Fargo Co Mtn Be FRN","0.48","BOND - CORPORATE BOND","-","-","-","19000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-07-20","0.76","-"
"Irs Usd 3.000 09/21/16-1y (Grn) Cme","0.48","INTEREST RATE SWAP","-","-","-","18900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-09-21","3","-"
"Petrobras Glbl Fin B V 2%","0.48","BOND - CORPORATE BOND","-","-","-","19000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-05-20","2","-"
"Cit Grp 144A 5.5%","0.47","BOND - CORPORATE BOND","-","-","-","17157000","17157000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-02-15","5.5","-"
"Rabobank Nederland Ny FRN","0.45","BOND - CORPORATE BOND","-","-","-","18100000","18100000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-11-23","0.51","-"
"Verizon Comms FRN","0.45","BOND - CORPORATE BOND","-","-","-","17700000","17700000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-06-09","0.63","-"
"Bk Tokyo-Mitsubishi Ltd N Y 144A FRN","0.43","BOND - CORPORATE BOND","-","-","-","17100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-03-10","0.64","-"
"FNMA","0.39","BOND - GOV'T AGENCY PASS-THRU","-","-","-","14000000","14000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-07-14","5.5","-"
"Citigroup FRN","0.39","BOND - CORPORATE BOND","-","-","-","15500000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-11-15","0.9","-"
"Ally Finl 5.5%","0.39","BOND - CORPORATE BOND","-","-","-","14237500","14237500","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-02-15","5.5","-"
"Daimler Fin North Amer 144A FRN","0.38","BOND - CORPORATE BOND","-","-","-","14900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-03-10","0.58","-"
"Ois Usd Fedl01/1.0 10/15/15 Cme","0.36","INTEREST RATE SWAP","-","-","-","14500000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-10-15","1","-"
"Morgan Stanley FRN","0.36","BOND - CORPORATE BOND","-","-","-","13900000","13900000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-04-25","1.51","-"
"Hca 3.75%","0.35","BOND - CORPORATE BOND","-","-","-","13800000","13800000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-03-15","3.75","-"
"Lb Cmbs 2007-C3 CMO","0.35","BOND - COMMERCIAL MBS","-","-","-","12468250","-776073","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-07-15","6.09","-"
"Cit Grp 5.25%","0.35","BOND - CORPORATE BOND","-","-","-","12849000","12849000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-03-15","5.25","-"
"Brazil La Sp Boa","0.34","CREDIT DEFAULT SWAP","-","-","-","13300000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-12-20","1","-"
"Triborough Brdg & Tunl Auth","0.33","MUNI BOND - REVENUE","-","-","-","13200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2028-11-15","0.55","-"
"Abbvie FRN","0.31","BOND - CORPORATE BOND","-","-","-","12035000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-11-06","0.98","-"
