"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"NVIDIA Corp","0.58","EQUITY","NVDA","Mid Value","2005-12-31","13880000","0","Technology","19.63","-0.63|-3.11%","20.17-19.61","8103662","21.25-14.9","United States","4.82","33.68","12.09","6.65","11012.06","USD","3","28.59","19.72","-","-","-"
"Abbott Laboratories","0.58","EQUITY","ABT","Large Growth","2011-06-30","6137900","0","Healthcare","43.69","-0.77|-1.73%","44.55-43.67","5191443","46.1-35.65","United States","4.98","23.95","21.53","13.56","66947.45","USD","3","18.29","34.75","-","-","-"
"Chubb Corp","0.57","EQUITY","CB","Large Value","1999-06-30","2799000","30000","Financial Services","101.84","-1.46|-1.41%","103.54-101.75","833942","105.28-82.98","United States","13.9","12.63","16.42","18.05","24359.56","USD","3","8.45","12.12","-","-","-"
"Visa Inc Class A","0.55","EQUITY","V","Large Growth","2011-03-31","1145138","-25000","Financial Services","256.78","-6.34|-2.41%","264.45-256.78","3834640","265.63-194.84","United States","22.63","28.76","40.09","26.97","162675.06","USD","2","18.92","30.53","-","-","-"
"Thermo Fisher Scientific Inc","0.54","EQUITY","TMO","Large Growth","2013-12-31","1958600","0","Healthcare","124.99","-1.73|-1.37%","126.76-124.97","1108827","129.69-100.04","United States","2.9","25.96","41.19","21.66","50691.23","USD","2","14.34","30.55","-","-","-"
"Carnival Corp","0.53","EQUITY","CCL","Large Core","2007-12-31","5818100","0","Consumer Cyclical","42.95","-0.58|-1.33%","43.79-42.93","4809944","44.74-33.11","United States","11.46","25.86","11.42","8.35","35201.23","USD","3","10.85","24.11","-","-","-"
"CH Robinson Worldwide Inc","0.51","EQUITY","CHRW","Mid Core","2008-06-30","3443308","-550000","Industrials","72.29","-0.19|-0.27%","72.84-71.88","1375529","75.2-50.21","United States","8.76","29.44","4","6.31","10602.75","USD","3","26.67","25.09","-","-","-"
"Boeing Co","0.5","EQUITY","BA","Large Core","2007-03-31","1744260","0","Industrials","120.77","-2.6|-2.11%","122.27-120.58","6661058","144.57-116.32","United States","-2.77","-4.73","21.81","19.12","87954.23","USD","3","-7.47","17.67","-","-","-"
"Sony Corp ADR","0.48","EQUITY","SNE","Large Core","1993-10-31","11900000","1850000","Technology","20.33","-0.41|-1.98%","20.56-20.33","2410921","22.32-15.23","Japan","4.75","19.63","5.39","-5.51","23823.61","USD","-","20.67","-","-","-","-"
"United Parcel Service Inc (UPS) Class B","0.48","EQUITY","UPS","Large Growth","1999-12-31","2181070","0","Industrials","110","-0.63|-0.57%","111.22-109.95","4214867","111.57-93.19","United States","13.64","12.33","17.68","16.04","100145.19","USD","2","7.83","27.44","-","-","-"
"Potash Corp of Saskatchewan Inc","0.46","EQUITY","POT","Large Core","1997-09-30","5919200","0","Basic Materials","39.59","-0.83|-2.05%","40.19-39.5","2247350","41.82-32.35","Canada","9.7","28.71","1.7","0.98","33536.3","CAD","3","19.78","22.11","-","-","-"
"United Continental Holdings Inc","0.45","EQUITY","UAL","Large Core","2012-06-30","4260800","266400","Industrials","64.1","-1.7|-2.58%","67.4-63.77","8170593","67.4-36.39","United States","28.94","79.88","47.22","43.04","24284.86","USD","2","73.94","20.83","-","-","-"
"Accenture PLC Class A","0.44","EQUITY","ACN","Large Core","2009-09-30","2386100","0","Technology","81.9","-1.98|-2.36%","83.47-81.86","2784774","87.08-73.79","United States","4.16","15.36","14.9","16.72","54983.55","USD","3","4.39","19.74","-","-","-"
"CME Group Inc Class A","0.44","EQUITY","CME","Large Core","2013-03-31","2424100","1444100","Financial Services","87.08","-1.4|-1.58%","88.38-87.04","1431601","89.99-66.44","United States","14.74","17.78","25.78","8.5","29803.73","USD","2","15.17","29.3","-","-","-"
"NetApp Inc","0.42","EQUITY","NTAP","Mid Core","2011-09-30","4320000","0","Technology","40.69","-1.5|-3.54%","41.76-40.66","2713640","45.96-33.34","United States","-0.26","6.89","4.29","5.55","13150.32","USD","2","4.08","22.1","-","-","-"
"LM Ericsson Telephone Company ADR Class B","0.41","EQUITY","ERIC","Large Growth","1996-09-30","14588314","5279400","Technology","12.05","-0.16|-1.31%","12.22-12.04","1356501","13.61-11.2","Sweden","-4.24","6.46","9.74","7.68","39548.19","USD","3","3.5","21.77","-","-","-"
"Plantronics","0.4","EQUITY","PLT","Small Growth","1994-01-31","3701500","0","Technology","51.69","-0.71|-1.36%","52.54-51.63","132557","53.58-41.14","United States","7.46","22.09","14.57","16.37","2249.35","USD","-","13.99","18.94","-","-","-"
"AbbVie Inc","0.37","EQUITY","ABBV","Large Growth","2013-03-31","2829800","100000","Healthcare","65.27","-1.76|-2.63%","67.17-65.01","9221434","70.76-45.5","United States","16.59","30.42","-","-","106796.58","USD","2","30.07","29.06","-","-","-"
"Deere & Co","0.37","EQUITY","DE","Large Value","1996-06-30","1976500","15000","Industrials","86.41","-1.58|-1.8%","87.81-86.39","2864552","94.89-78.88","United States","7.93","3.36","6.26","13.01","31537.42","USD","3","-1.78","9.89","-","-","-"
"Bed Bath & Beyond Inc","0.34","EQUITY","BBBY","Mid Value","2006-06-30","2300975","0","Consumer Cyclical","72.25","0.47|0.65%","72.9-71.42","2279497","80.82-54.96","United States","10.01","-7.07","4.32","13.45","13296.44","USD","3","-10.61","14.88","-","-","-"
"GlaxoSmithKline PLC ADR","0.33","EQUITY","GSK","Large Value","2005-06-30","3200400","-55000","Healthcare","42.42","-0.93|-2.15%","43.7-42.41","4894431","56.73-41.91","United Kingdom","-6.32","-10.56","4.45","5.46","104126.7","USD","3","-13.84","16.07","-","-","-"
"CVS Health Corp","0.32","EQUITY","CVS","Large Growth","2013-09-30","1794065","0","Healthcare","89.94","-0.99|-1.09%","91.85-89.92","4313661","91.85-64.95","United States","12.47","35.06","34.61","23.99","104240.65","USD","2","28.59","23.52","-","-","-"
"Alibaba Group Holding Ltd ADR","0.32","EQUITY","BABA","-","2014-09-30","1607100","1607100","Consumer Cyclical","105.11","0.14|0.13%","107.45-104.18","14537588","120-82.81","China","-","-","-","-","260922.59","USD","2","-","53","-","-","-"
"Delta Air Lines Inc","0.31","EQUITY","DAL","Large Core","2012-06-30","3783000","5000","Industrials","47.68","-0.65|-1.34%","49.62-47.65","15141612","49.62-26.4","United States","22.4","75.81","79","34.08","40449.38","USD","-","77.03","4.18","-","-","-"
"Sanofi ADR","0.29","EQUITY","SNY","Large Value","2012-03-31","2250000","765000","Healthcare","45.16","-1.05|-2.27%","46.21-45.08","1861397","57.42-44.5","France","-17.08","-4.01","12.89","6.82","122069.23","USD","4","-10.27","24.02","-","-","-"
"Praxair Inc","0.27","EQUITY","PX","Large Core","2004-03-31","925000","0","Basic Materials","123.72","-2.54|-2.01%","125.57-123.72","1257491","135.24-117.32","United States","-3.24","3.82","8.83","11.03","36788.7","USD","3","-0.9","20.09","-","-","-"
"Analog Devices Inc","0.25","EQUITY","ADI","Large Core","2011-09-30","2240000","0","Technology","55.92","-0.34|-0.6%","56.39-55.43","3178452","57.99-42.57","United States","13.79","18.62","19.65","15.3","17505.28","USD","3","13.35","28.43","-","-","-"
"United Technologies Corp","0.24","EQUITY","UTX","Large Core","2013-12-31","1007000","0","Industrials","112.15","-1.89|-1.66%","113.66-110.1","5867261","120.66-97.3","United States","5.64","7.12","16.49","12.34","103965.52","USD","3","2.28","16.83","-","-","-"
